Timer started ...
MOD: delay(30 30), type(tBUF), from(valid.OUT), to(valid.PAD)
NET: delay(0 0), type(   ), from(u1_cnt_int_count_28_.Q ), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_29_.Q ), to(u1_cnt_int_count_31_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_29_.Q ), to(u1_cnt_int_count_30_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_29_.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_29_.Q ), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_29_.Q ), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_29_.Q ), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_30_.Q ), to(u1_cnt_int_count_31_.T )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_30_.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_30_.Q ), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_30_.Q ), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_30_.Q ), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_31_.Q ), to(u1_cnt_int_count_3_.T.X2 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_31_.Q ), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_31_.Q ), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u1_cnt_int_count_31_.Q ), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_n_58_n.OUT), to(u1_cnt_int_count_16_.T )
NET: delay(0 0), type(   ), from(u1_n_58_n.OUT), to(u1_cnt_int_count_15_.T )
NET: delay(0 0), type(   ), from(u1_n_58_n.OUT), to(u1_cnt_int_count_14_.T )
NET: delay(0 0), type(   ), from(u1_n_58_n.OUT), to(u1_cnt_int_un5_count_27_n.X2 )
NET: delay(0 0), type(   ), from(u1_n_58_n.OUT), to(u1_cnt_int_un5_count_27_n.X1 )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_29_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_28_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_27_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_26_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_25_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_24_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_23_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_22_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_21_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_20_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_19_.T )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_18_.D.X1 )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_17_.D )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_un5_count_26_n.X1 )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_cnt_int_count_0_.D )
NET: delay(0 0), type(   ), from(u1_n_85_n.OUT), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u1_n_109_n.OUT), to(u1_cnt_int_count_31_.T )
NET: delay(0 0), type(   ), from(u1_n_109_n.OUT), to(u1_cnt_int_count_30_.T )
NET: delay(0 0), type(   ), from(u1_n_109_n.OUT), to(u1_cnt_int_count_3_.T.X1 )
NET: delay(0 0), type(   ), from(u1_n_109_n.OUT), to(u1_q_3_.D )
NET: delay(0 0), type(   ), from(u0_q1_1_.Q ), to(u0_q1_1_.D )
NET: delay(0 0), type(   ), from(u0_q1_1_.Q ), to(serial_out.D )
NET: delay(0 0), type(   ), from(u0_q1_2_.Q ), to(u0_q1_2_.D )
NET: delay(0 0), type(   ), from(u0_q1_2_.Q ), to(u0_q1_1_.D )
NET: delay(0 0), type(   ), from(u0_q1_3_.Q ), to(u0_q1_3_.D )
NET: delay(0 0), type(   ), from(u0_q1_3_.Q ), to(u0_q1_2_.D )
NET: delay(0 0), type(   ), from(u0_q1_4_.Q ), to(u0_q1_4_.D )
NET: delay(0 0), type(   ), from(u0_q1_4_.Q ), to(u0_q1_3_.D )
NET: delay(0 0), type(   ), from(u0_q1_5_.Q ), to(u0_q1_5_.D )
NET: delay(0 0), type(   ), from(u0_q1_5_.Q ), to(u0_q1_4_.D )
NET: delay(0 0), type(   ), from(u0_q1_6_.Q ), to(u0_q1_6_.D )
NET: delay(0 0), type(   ), from(u0_q1_6_.Q ), to(u0_q1_5_.D )
NET: delay(0 0), type(   ), from(u0_q1_7_.Q ), to(u0_q1_7_.D )
NET: delay(0 0), type(   ), from(u0_q1_7_.Q ), to(u0_q1_6_.D )
NET: delay(0 0), type(   ), from(serial_out.Q ), to(serial_out.D )
Fmax/Tpd has been written in: .\seq.lco
Timing result in log-file: .\seq.tlg


Timer ended.
